id,project,connector_type,t,delta_t,url,redirect_url,response_size,response_code,success,error
17693,course_links,requests,1567019394.1145186,-0.1419363021850586,https://kurser.ku.dk/archive/2013-2014/course/NIDA06003U,https://kurser.ku.dk/archive/2013-2014/course/NIDA06003U,37387,200,True,
17694,course_links,requests,1567019394.800813,-0.1249539852142334,https://kurser.ku.dk/archive/2013-2014/course/NIDA06015U,https://kurser.ku.dk/archive/2013-2014/course/NIDA06015U,36865,200,True,
17695,course_links,requests,1567019395.4662411,-0.12497377395629883,https://kurser.ku.dk/archive/2013-2014/course/NIDA06016U,https://kurser.ku.dk/archive/2013-2014/course/NIDA06016U,37195,200,True,
17696,course_links,requests,1567019396.139588,-0.1562328338623047,https://kurser.ku.dk/archive/2013-2014/course/NIDA06020U,https://kurser.ku.dk/archive/2013-2014/course/NIDA06020U,36853,200,True,
17697,course_links,requests,1567019396.8590977,-0.10936665534973145,https://kurser.ku.dk/archive/2013-2014/course/NIDA06021U,https://kurser.ku.dk/archive/2013-2014/course/NIDA06021U,37175,200,True,
17698,course_links,requests,1567019397.5116148,-0.11061787605285645,https://kurser.ku.dk/archive/2013-2014/course/NIDA08002U,https://kurser.ku.dk/archive/2013-2014/course/NIDA08002U,38415,200,True,
17699,course_links,requests,1567019398.1711686,-0.10934233665466309,https://kurser.ku.dk/archive/2013-2014/course/NIDA08004U,https://kurser.ku.dk/archive/2013-2014/course/NIDA08004U,36268,200,True,
17700,course_links,requests,1567019398.8216126,-0.1262671947479248,https://kurser.ku.dk/archive/2013-2014/course/NIDB10002U,https://kurser.ku.dk/archive/2013-2014/course/NIDB10002U,44942,200,True,
17701,course_links,requests,1567019399.4962533,-0.1500415802001953,https://kurser.ku.dk/archive/2013-2014/course/NIDB10003U,https://kurser.ku.dk/archive/2013-2014/course/NIDB10003U,38829,200,True,
17702,course_links,requests,1567019400.1935337,-0.12493515014648438,https://kurser.ku.dk/archive/2013-2014/course/NIDB10004U,https://kurser.ku.dk/archive/2013-2014/course/NIDB10004U,44577,200,True,
17703,course_links,requests,1567019400.8520732,-0.10935020446777344,https://kurser.ku.dk/archive/2013-2014/course/NIDB10005U,https://kurser.ku.dk/archive/2013-2014/course/NIDB10005U,36994,200,True,
17704,course_links,requests,1567019401.505756,-0.09375381469726562,https://kurser.ku.dk/archive/2013-2014/course/NIDB10006U,https://kurser.ku.dk/archive/2013-2014/course/NIDB10006U,43655,200,True,
17705,course_links,requests,1567019402.1758795,-0.09376120567321777,https://kurser.ku.dk/archive/2013-2014/course/NIDB10008U,https://kurser.ku.dk/archive/2013-2014/course/NIDB10008U,36727,200,True,
